Config,Sequence,Precision,Recall,F1-score,AP@0.5,Success(AUC),FPS,CDR (%)
w/o MOD,phantom51,0.9311,0.6869,0.7906,0.6826,0.5151,559.8,66.13
w/o MOD,phantom54,0.6751,0.1491,0.2442,0.1584,0.1143,1646.81,14.91
w/o MOD,phantom55,0.9025,0.6505,0.756,0.6533,0.4883,548.69,65.05
w/o MOD,phantom56,0.9321,0.419,0.5781,0.4156,0.3165,883.2,41.9
w/o MOD,phantom57,0.953,0.936,0.9444,0.9306,0.7043,419.86,93.6
w/o MOD,phantom58,0.0,0.0,0.0,0.0,0.0,23487.22,0.0
w/o MOD,phantom59,0.9729,0.4786,0.6416,0.4752,0.3475,813.47,47.86
w/o MOD,phantom60,1.0,0.1579,0.2728,0.1584,0.1234,2366.01,15.79
w/o MOD,phantom61,0.5633,0.2747,0.3693,0.2867,0.222,690.16,27.47
w/o MOD,phantom63,0.0,0.0,0.0,0.0,0.0,19457.73,0.0
w/o MOD,phantom64,0.573,0.0567,0.1032,0.0687,0.0485,3418.03,5.67
w/o MOD,phantom65,0.0,0.0,0.0,0.0,0.0,9627.5,0.0
w/o MOD,phantom66,0.8242,0.7967,0.8102,0.8019,0.5976,413.93,79.67
w/o MOD,phantom68,0.2875,0.014,0.0266,0.0198,0.0208,4277.61,1.4
w/o MOD,phantom70,0.0,0.0,0.0,0.0,0.0,15121.43,0.0
w/o MOD,phantom71,0.754,0.5825,0.6573,0.5936,0.478,486.38,58.25
w/o MOD,phantom73,0.7485,0.1908,0.304,0.198,0.1349,1402.22,18.81
w/o MOD,phantom74,0.0,0.0,0.0,0.0,0.0,16576.34,0.0
w/o MOD,phantom75,0.7888,0.3304,0.4657,0.3464,0.2646,920.62,33.04
w/o MOD,phantom76,0.6582,0.1494,0.2436,0.1575,0.1144,1565.34,14.87
w/o MOD,phantom77,0.8537,0.7108,0.7757,0.7129,0.557,471.28,71.08
w/o MOD,phantom78,0.0,0.0,0.0,0.0,0.0,24015.14,0.0
w/o MOD,phantom79,0.1321,0.004,0.0078,0.0099,0.0123,7311.63,0.4
w/o MOD,phantom80,0.934,0.9147,0.9243,0.9106,0.7026,416.7,91.47
w/o MOD,phantom81,0.9768,0.9596,0.9681,0.9503,0.7338,419.0,95.96
w/o MOD,phantom84,0.474,0.0456,0.0832,0.0495,0.0498,3433.06,4.56
w/o MOD,phantom85,0.9984,0.5546,0.7131,0.5539,0.4337,733.47,52.13
w/o MOD,phantom86,0.0,0.0,0.0,0.0,0.0,19315.05,0.0
w/o YOLO,phantom02,0.939,0.9077,0.9231,0.901,0.7202,287.12,90.77
w/o YOLO,phantom04,0.0993,0.0981,0.0987,0.1089,0.1993,346.32,9.81
w/o YOLO,phantom05,0.2775,0.2424,0.2588,0.2475,0.2154,137.78,24.24
w/o YOLO,phantom06,0.6471,0.6309,0.6389,0.6337,0.4783,314.07,63.09
w/o YOLO,phantom08,0.3744,0.3411,0.357,0.3465,0.313,125.22,32.38
w/o YOLO,phantom09,0.7971,0.7784,0.7877,0.7822,0.6404,287.01,77.32
w/o YOLO,phantom10,0.5306,0.5111,0.5207,0.5149,0.4518,274.35,51.11
w/o YOLO,phantom12,0.9707,0.9095,0.9391,0.9109,0.641,188.81,88.32
w/o YOLO,phantom13,0.7776,0.8016,0.7894,0.802,0.6066,274.91,75.17
w/o YOLO,phantom14,0.9769,0.9703,0.9736,0.9703,0.7691,394.04,97.03
w/o YOLO,phantom16,0.5987,0.5873,0.5929,0.5842,0.5729,193.98,54.97
w/o YOLO,phantom19,0.1502,0.1284,0.1384,0.1485,0.205,140.6,12.84
w/o YOLO,phantom20,0.0716,0.0278,0.0401,0.0297,0.1027,45.2,2.78
w/o YOLO,phantom22,0.2514,0.2197,0.2345,0.2277,0.1696,155.58,21.97
w/o YOLO,phantom23,0.8869,0.8882,0.8875,0.8812,0.6776,335.63,87.08
w/o YOLO,phantom28,0.7373,0.6901,0.7129,0.6931,0.5478,220.53,69.01
w/o YOLO,phantom29,0.9348,0.8338,0.8814,0.8317,0.5908,125.56,78.14
w/o YOLO,phantom30,0.9026,0.6308,0.7426,0.6337,0.4604,80.9,63.08
w/o YOLO,phantom32,0.5006,0.2655,0.347,0.2673,0.2127,55.43,26.55
w/o YOLO,phantom36,0.8123,0.7509,0.7804,0.7525,0.5453,201.98,75.09
w/o YOLO,phantom38,0.2796,0.2332,0.2543,0.2376,0.1938,121.9,23.32
w/o YOLO,phantom39,0.0087,0.0059,0.0071,0.0099,0.1067,81.46,0.59
w/o YOLO,phantom40,0.9413,0.9408,0.9411,0.9406,0.7244,409.36,94.08
w/o YOLO,phantom41,0.3544,0.2998,0.3248,0.3069,0.3808,133.91,29.98
w/o YOLO,phantom42,0.0068,0.0068,0.0068,0.0099,0.1298,355.16,0.67
w/o YOLO,phantom43,0.0,0.0,0.0,0.0,0.0028,151.97,0.0
w/o YOLO,phantom44,0.3852,0.2727,0.3193,0.2772,0.2135,83.24,27.27
w/o YOLO,phantom45,0.1142,0.1038,0.1087,0.1089,0.0946,191.02,10.38
